time,reanalysis,xgboost,cnn,naive,lstm
2017-10-11,167.051779293166,123.69660186767578,110.69930267333984,168.1374317812411,116.10430145263672
2017-10-12,67.65955397076492,86.51219940185547,70.33687591552734,106.68616913383863,91.97257995605469
2017-10-13,68.96143012602319,166.63059997558594,148.2169189453125,222.95118759905796,178.41526794433594
2017-10-14,293.60467154669925,269.2644958496094,241.5020751953125,277.76926411882465,277.02679443359375
2017-10-15,314.60473387813744,304.6062927246094,299.3119812011719,275.81984845733365,287.7787170410156
2017-10-16,291.18292707788,290.7837829589844,244.9287567138672,245.11919875325526,258.1296081542969
2017-10-17,110.16276356819138,143.11766052246094,128.84706115722656,176.14126623606768,139.8538360595703
2017-10-18,166.18698361458829,193.04478454589844,161.23532104492188,210.0842326534226,190.53549194335938
2017-10-19,249.8445259340482,176.57046508789062,162.43862915039062,196.37497297334318,162.36550903320312
2017-10-20,317.83520181085714,289.0912780761719,218.7539825439453,285.5685425228099,282.6687316894531
2017-10-21,205.1924648827276,169.6969757080078,171.7681121826172,219.28418533758355,187.6544647216797
2017-10-22,280.1303570551837,280.1799011230469,259.3204040527344,266.7222305044657,271.1289367675781
2017-10-23,333.49775490062484,320.897705078125,335.46881103515625,299.27331399785777,329.68572998046875
2017-10-24,314.1042407991709,296.6100158691406,274.3968200683594,287.9738561402542,306.3182067871094
2017-10-25,279.95721204168956,271.15301513671875,264.7967834472656,261.82041650807383,285.1233215332031
2017-10-26,265.74805020723437,225.84994506835938,225.39828491210938,221.52749252006885,231.5837860107422
2017-10-27,133.99443910711167,140.37295532226562,129.13363647460938,158.02606790506667,138.49172973632812
2017-10-28,225.70337762179193,222.18162536621094,244.13824462890625,247.58473065513732,224.08419799804688
2017-10-29,219.03286112895827,258.2895812988281,226.65570068359375,257.90076338319756,235.02674865722656
2017-10-30,302.1153519644733,256.5455627441406,244.39056396484375,271.6575415364428,259.3193664550781
2017-10-31,336.6191795701782,337.2864990234375,307.0506286621094,300.14464469760475,307.10247802734375
2017-11-01,332.3348409177427,327.1800537109375,291.5745544433594,305.43432068742055,296.09442138671875
2017-11-02,227.2591334446065,175.24359130859375,187.33416748046875,257.6232376579215,181.87364196777344
2017-11-03,255.87467288749954,175.1373748779297,168.1715087890625,229.99108440135984,190.62664794921875
2017-11-04,308.38575898842356,261.02655029296875,245.35379028320312,270.6613312222822,228.45016479492188
2017-11-05,319.2321186196671,333.6166687011719,315.607177734375,310.497136410168,306.93902587890625
2017-11-06,317.4919443098138,289.925048828125,311.5779113769531,302.7308627714197,296.2796630859375
2017-11-07,252.72591292749073,271.4622802734375,256.762451171875,273.74515636799384,258.19036865234375
2017-11-08,245.77297203555997,219.279052734375,204.68968200683594,265.19809673115793,221.79551696777344
2017-11-09,338.5173458734349,257.5850524902344,254.837890625,286.51161698665106,259.5699462890625
2017-11-10,316.0338333513783,296.71295166015625,284.2203674316406,290.7174756631726,289.315185546875
2017-11-11,342.1069299489889,314.6475524902344,279.4395446777344,300.45374485370354,307.362060546875
2017-11-12,353.3064436315417,342.39031982421875,311.2037048339844,349.04968891527693,355.99432373046875
2017-11-13,357.68447209754254,361.6090087890625,347.9992980957031,368.948831509983,363.5831298828125
2017-11-14,355.09102955155595,358.9533386230469,329.06207275390625,364.72726608608224,359.6168212890625
2017-11-15,345.77020893526156,292.5895080566406,260.3241271972656,311.1959053194901,296.3812255859375
2017-11-16,182.0944231272471,264.0185546875,232.42694091796875,280.9993149312309,246.11175537109375
2017-11-17,335.9650119691061,328.2698974609375,303.82196044921875,322.68145445233546,343.8619384765625
2017-11-18,342.07403068041896,329.0565185546875,316.7994079589844,335.00694269363026,339.60784912109375
2017-11-19,359.7817774743966,351.5955505371094,332.2878723144531,363.6502035554391,361.1137390136719
2017-11-20,304.6231712982764,278.0200500488281,275.3865966796875,319.9798413312988,311.2398376464844
2017-11-21,238.33867771007894,280.6701354980469,237.26202392578125,283.4041456403707,227.97723388671875
2017-11-22,357.3226350554674,356.781005859375,349.8304443359375,365.5458813052924,353.5272521972656
2017-11-23,351.4522770969866,322.3644104003906,373.4483947753906,376.7592372968525,361.65362548828125
2017-11-24,296.8596522830737,292.0635986328125,296.2840881347656,328.9975894234363,325.57476806640625
2017-11-25,291.88800926575465,301.7914733886719,277.7995300292969,328.0621944853288,269.08306884765625
2017-11-26,368.16732398319135,351.8655700683594,317.2318115234375,347.01815227148705,362.5005798339844
2017-11-27,352.0383384759421,340.4898376464844,336.9695129394531,347.19097884189847,357.43426513671875
2017-11-28,365.55496967739583,371.783447265625,344.3984680175781,365.2662020518024,372.2688903808594
2017-11-29,369.0682216840871,362.43182373046875,333.51080322265625,354.2495592285655,353.9128723144531
2017-11-30,333.3206411082684,348.091796875,311.3818664550781,327.6347000661868,322.57073974609375
2017-12-01,296.31488212882283,328.84014892578125,308.4183654785156,301.1243426214236,308.7523498535156
2017-12-02,270.1945788903478,279.4600524902344,272.224365234375,274.76757848797877,260.49542236328125
2017-12-03,236.58095209003713,213.09400939941406,174.39859008789062,216.744828316337,186.19117736816406
2017-12-04,226.84199844979753,273.1369323730469,251.8773956298828,268.94480070316,251.2770538330078
2017-12-05,226.2153761783251,284.8493347167969,275.7721862792969,282.88645784347625,279.61505126953125
2017-12-06,274.3777088769768,314.4001159667969,295.655517578125,304.0081694531467,306.3775634765625
2017-12-07,332.009103152376,333.2391662597656,332.8359680175781,334.994127425692,338.84375
2017-12-08,350.3864533653186,339.2436218261719,336.5442199707031,351.3753916493473,359.46221923828125
2017-12-09,343.21997816798466,326.7624206542969,343.9503173828125,360.19591580701797,351.05230712890625
2017-12-10,369.9064316236652,366.7857360839844,329.5384216308594,327.96066450536034,357.98553466796875
2017-12-11,367.64133791789703,371.89044189453125,333.9909362792969,318.54598727340215,336.47869873046875
2017-12-12,383.4966177097415,370.68609619140625,336.8671569824219,354.01529512929426,358.1080322265625
2017-12-13,342.85629470336727,354.9806213378906,344.7045593261719,334.17291010310817,336.68048095703125
2017-12-14,310.77679793084576,310.8676452636719,323.7147521972656,296.1555778005726,306.25018310546875
2017-12-15,359.78873073103364,354.36846923828125,343.2610168457031,320.6746975060354,336.8451232910156
2017-12-16,325.5113335596259,327.37713623046875,329.4544372558594,315.6201044571093,308.6825256347656
2017-12-17,201.5651273006039,264.70751953125,210.83599853515625,268.25647713176966,215.02200317382812
2017-12-18,348.51057180342195,364.6954650878906,329.1170959472656,323.03809083704016,332.1661376953125
